iter	RMSE
0	36.38007042
1	35.80371975
2	35.25472243
3	34.70024592
4	34.163195
5	33.64940633
6	33.13865094
7	32.60799972
8	32.09959566
9	31.59156196
10	31.13208905
11	30.66732631
12	30.22045909
13	29.79179889
14	29.34111008
15	28.92968104
16	28.49695138
17	28.08544766
18	27.66581807
19	27.27103836
20	26.88045739
21	26.52485325
22	26.17165747
23	25.81170001
24	25.42529596
25	25.07258192
26	24.73677624
27	24.40969011
28	24.08107955
29	23.7688159
30	23.44022842
31	23.15480198
32	22.87095184
33	22.57607529
34	22.28947754
35	21.99925568
36	21.71354603
37	21.42302097
38	21.16501779
39	20.89896092
40	20.65847724
41	20.41406534
42	20.15770685
43	19.90835099
44	19.67663892
45	19.44039894
46	19.22700488
47	19.00654113
48	18.79342873
49	18.57586511
50	18.37856406
51	18.15500329
52	17.95863516
53	17.76865245
54	17.57931781
55	17.41113797
56	17.24242692
57	17.04883724
58	16.87162991
59	16.71372954
60	16.55544618
61	16.39632061
62	16.24429481
63	16.09496876
64	15.96391737
65	15.80417587
66	15.64879619
67	15.50416651
68	15.36145127
69	15.20931326
70	15.08719483
71	14.96873836
72	14.82703906
73	14.67888989
74	14.55549618
75	14.42388514
76	14.29637901
77	14.18000089
78	14.07455655
79	13.97038281
80	13.84609161
81	13.75017621
82	13.65217845
83	13.52248262
84	13.42773851
85	13.32818761
86	13.23905583
87	13.13676258
88	13.04819798
89	12.95115753
90	12.84077286
91	12.75296479
92	12.65329453
93	12.55884218
94	12.47649826
95	12.38346711
96	12.30354165
97	12.2315084
98	12.14465902
99	12.06597972
100	11.99692863
101	11.92981136
102	11.86244217
103	11.79754851
104	11.71916467
105	11.64708473
106	11.57066782
107	11.50629659
108	11.43855863
109	11.35982235
110	11.29200899
111	11.21301082
112	11.1450518
113	11.08266541
114	11.03178576
115	10.98036691
116	10.9269179
117	10.85876749
118	10.80582426
119	10.76219022
120	10.69850998
121	10.63663117
122	10.58197957
123	10.52793697
124	10.4769156
125	10.42377593
