iter	Passed	Remaining
0	29	11745
1	55	10946
2	80	10606
3	104	10366
4	130	10300
5	155	10220
6	180	10144
7	206	10114
8	231	10048
9	256	10020
10	281	9971
11	306	9923
12	331	9871
13	355	9810
14	379	9730
15	402	9669
16	427	9633
17	451	9577
18	476	9546
19	500	9511
20	525	9482
21	549	9442
22	574	9412
23	598	9375
24	622	9340
25	647	9313
26	671	9272
27	695	9242
28	719	9210
29	744	9177
30	768	9151
31	792	9111
32	817	9090
33	841	9056
34	865	9021
35	889	8994
36	912	8955
37	936	8917
38	959	8880
39	983	8851
40	1007	8817
41	1030	8779
42	1052	8742
43	1077	8714
44	1100	8682
45	1125	8658
46	1148	8626
47	1172	8598
48	1196	8573
49	1221	8547
50	1245	8523
51	1269	8494
52	1293	8470
53	1317	8441
54	1341	8415
55	1365	8388
56	1390	8366
57	1414	8337
58	1438	8312
59	1462	8288
60	1487	8268
61	1511	8242
62	1536	8218
63	1560	8191
64	1583	8162
65	1607	8137
66	1632	8113
67	1656	8088
68	1680	8060
69	1703	8031
70	1726	8001
71	1750	7975
72	1774	7948
73	1798	7923
74	1822	7897
75	1845	7868
76	1869	7842
77	1893	7815
78	1916	7788
79	1940	7761
80	1963	7734
81	1987	7706
82	2010	7680
83	2033	7650
84	2057	7623
85	2080	7594
86	2103	7568
87	2126	7540
88	2151	7518
89	2175	7493
90	2200	7471
91	2223	7445
92	2247	7419
93	2272	7396
94	2295	7370
95	2319	7345
96	2342	7318
97	2366	7291
98	2389	7264
99	2413	7239
100	2436	7213
101	2460	7189
102	2484	7165
103	2507	7137
104	2531	7112
105	2555	7086
106	2578	7060
107	2602	7035
108	2625	7010
109	2650	6987
110	2676	6968
111	2704	6953
112	2733	6941
113	2759	6923
114	2790	6915
115	2817	6897
116	2843	6878
117	2869	6857
118	2895	6836
119	2922	6819
120	2950	6804
121	2979	6788
122	3006	6771
123	3035	6756
124	3064	6741
125	3091	6721
